"age_group","date","J12_18","ach_noj","a10_b99_nopneumo","K00_99","E00_99","N00_99","S00_T99","I00_99","E10_14","I60_64","pandemic","G00_99_SY","N39","C00_D48","A41","Z00_99","L00_99","D50_89","M00_99","E40_46","H00_99_SY","K80","Q00_99","cj20_J22","P00_99","K35"
"08_2_29",2014-10-01,392,1.13119268855513,1.25457329032263,1.02138693672933,1.17405169484889,1.18444752905203,1.50630188442716,0.680108381023655,1.19627356756832,1.14826000283907,-0.123564012835717,-0.103675371737227,1.0774240050004,0.719126628717474,1.48126859043232,0.631114301737914,0.900640786718569,1.76498652793205,-1.30833956096144,0.733325405191589,1.38677080711553,0.554690476176088,NA,NA,NA,NA
"08_2_29",2014-11-01,351,1.13119268855513,1.25457329032263,1.02138693672933,1.17405169484889,1.18444752905203,1.50630188442716,0.680108381023655,1.19627356756832,1.14826000283907,-0.123564012835717,-0.103675371737227,1.0774240050004,0.719126628717474,1.48126859043232,0.631114301737914,0.900640786718569,1.76498652793205,-1.30833956096144,0.733325405191589,1.38677080711553,0.554690476176088,NA,NA,NA,NA
"08_2_29",2014-12-01,397,1.13119268855513,1.25457329032263,1.02138693672933,1.17405169484889,1.18444752905203,1.50630188442716,0.680108381023655,1.19627356756832,1.14826000283907,-0.123564012835717,-0.103675371737227,1.0774240050004,0.719126628717474,1.48126859043232,0.631114301737914,0.900640786718569,1.76498652793205,-1.30833956096144,0.733325405191589,1.38677080711553,0.554690476176088,NA,NA,NA,NA
"08_2_AA",2004-01-01,769,0.00483337014749232,-0.316607675859186,-0.356158434139995,-0.406302139848707,-0.551902722053771,-1.30419208155489,0.252138353452962,-1.07364580251598,-0.754262679739836,-0.123564012835717,-1.81486588805656,-1.55088280406241,-1.50742389156022,-1.04612290204162,-0.290636228284658,-0.608276142722735,-1.16387776679998,0.354018128659345,0.825011419579681,-1.65083595655794,-1.17065780573245,1.57222958694961,-0.443097308921236,NA,NA
"08_2_AA",2004-02-01,1163,0.00483337014749232,-0.316607675859186,-0.356158434139995,-0.406302139848707,-0.551902722053771,-1.30419208155489,0.252138353452962,-1.07364580251598,-0.754262679739836,-0.123564012835717,-1.81486588805656,-1.55088280406241,-1.50742389156022,-1.04612290204162,-0.290636228284658,-0.608276142722735,-1.16387776679998,0.354018128659345,0.825011419579681,-1.65083595655794,-1.17065780573245,1.57222958694961,-0.443097308921236,NA,NA
"08_2_AA",2004-03-01,2405,0.00483337014749232,-0.316607675859186,-0.356158434139995,-0.406302139848707,-0.551902722053771,-1.30419208155489,0.252138353452962,-1.07364580251598,-0.754262679739836,-0.123564012835717,-1.81486588805656,-1.55088280406241,-1.50742389156022,-1.04612290204162,-0.290636228284658,-0.608276142722735,-1.16387776679998,0.354018128659345,0.825011419579681,-1.65083595655794,-1.17065780573245,1.57222958694961,-0.443097308921236,NA,NA
"08_2_AA",2004-04-01,1519,-1.38919023219222,-0.986325016839187,-1.52175228116987,-1.4738418673396,-0.625675836461053,-1.65021037516864,-0.341402258502091,-1.76269348586534,-0.810172908630136,-0.123564012835717,-2.12873200846216,-1.71893503017163,-1.39133439068804,-1.23721343073061,-0.0129542837679461,-0.949736927625532,-1.65480728376217,0.477462847945847,0.476503772946454,-1.76146814932224,-1.69413753904354,1.11306101394019,-1.12397325440374,NA,NA
"08_2_AA",2004-05-01,1067,-1.38919023219222,-0.986325016839187,-1.52175228116987,-1.4738418673396,-0.625675836461053,-1.65021037516864,-0.341402258502091,-1.76269348586534,-0.810172908630136,-0.123564012835717,-2.12873200846216,-1.71893503017163,-1.39133439068804,-1.23721343073061,-0.0129542837679461,-0.949736927625532,-1.65480728376217,0.477462847945847,0.476503772946454,-1.76146814932224,-1.69413753904354,1.11306101394019,-1.12397325440374,NA,NA
"08_2_AA",2004-06-01,930,-1.38919023219222,-0.986325016839187,-1.52175228116987,-1.4738418673396,-0.625675836461053,-1.65021037516864,-0.341402258502091,-1.76269348586534,-0.810172908630136,-0.123564012835717,-2.12873200846216,-1.71893503017163,-1.39133439068804,-1.23721343073061,-0.0129542837679461,-0.949736927625532,-1.65480728376217,0.477462847945847,0.476503772946454,-1.76146814932224,-1.69413753904354,1.11306101394019,-1.12397325440374,NA,NA
"08_2_AA",2004-07-01,1031,-1.03458904494256,-1.10250763593422,-0.951578537736189,-1.30067952176293,-0.664475449967827,-0.682189538664533,0.062844824232002,-1.25069937076527,-0.753250529748708,-0.123564012835717,-1.69978022623824,-1.54527403198062,-1.40518733208635,-1.20813962101565,-0.00632525083325158,-0.550322208500531,-1.32707593367078,1.17498638104889,-0.277650028019913,-1.45308353825502,-1.00973627885163,1.73627691576237,-1.12397325440374,NA,NA
